feature,mean_abs_shap,mean_shap,std_shap,native_importance,rank
EXT_SOURCE_3,0.03561245049638978,-0.006056823535160918,0.043175099821302895,1.4640299061302509,39
bureau_AMT_CREDIT_SUM_sum_730D,0.03442083106346223,-0.001591274224463754,0.04437946211076717,0.6387574358064012,40
pos_CNT_INSTALMENT_FUTURE_mean_12M,0.034090852208082105,-0.0011289211381131075,0.04593457542642239,0.6861684031548627,41
REGION_POPULATION_RELATIVE,0.03362376154947578,-0.001859316467347176,0.04014134696678706,0.9272187746836286,42
inst_DPD_mean_730D,0.03361449937325827,-0.007384624852188599,0.04557768101759103,0.9120515891199811,43
DEF_30_CNT_SOCIAL_CIRCLE,0.03305111080120386,-0.002368257723537803,0.051129608270317886,0.47253110572628804,44
FLAG_WORK_PHONE,0.032985980166120955,-0.001635610666828678,0.0403163807686234,0.3153518775282339,45
inst_PAYMENT_PERC_mean_1000D,0.030990496568417594,-0.0033717068696396055,0.03297311390666859,0.7211006733157308,46
AMT_CREDIT,0.03055162871459412,0.002226926769697554,0.045464802158520216,0.8992165771865551,47
prev_APPROVED_SK_ID_PREV_count,0.030340831410016356,-0.00013876196184638308,0.03595156979118392,0.5470521736164793,48
EXT_SOURCES_MIN,0.03021444887118494,-0.00864456820182171,0.04096065271117906,0.9866371633973944,49
bureau_AMT_CREDIT_SUM_sum_365D,0.029470004757468634,-0.00019281843923364296,0.041295536088174524,0.5829654087570658,50
bureau_DEBT_CREDIT_RATIO_mean_365D,0.029362632473888477,-0.005329858349948946,0.04309281801549066,0.6086311663561417,51
prev_DAYS_DECISION_min,0.028250873060628613,-0.003284147591361202,0.03718691515404848,0.8191178558762886,52
bureau_AMT_CREDIT_SUM_sum_1095D,0.027776767774293734,0.0005134834992151912,0.032537308817489646,0.5838412465159853,53
OCCUPATION_TYPE_FREQ,0.02614819551144979,-0.0030677911229811585,0.030181503983684955,0.37119362859036276,54
prev_REFUSED_PREV_CREDIT_TO_ANNUITY_mean,0.02589357071958973,-0.003614596332741385,0.03152503480374011,0.5280830673285956,55
bureau_AMT_CREDIT_SUM_sum,0.02565802736168178,-0.0018802535869371028,0.03162327306609031,0.5027757752081754,56
