threshold,precision,recall,f1,accuracy
0.48,0.1811049790525298,0.7243907351460221,0.2897656319236874,0.7133273281280995
0.49,0.1850199086605286,0.7131520644511581,0.2938130642591609,0.7232489244287196
0.5,0.18895657640861102,0.702195367573011,0.29778183961256927,0.7326437103062979
0.51,0.1929172439428243,0.6899093655589124,0.30152107320164784,0.7419604501952776
0.52,0.19676679231147426,0.6770996978851964,0.3049224043319335,0.750795906487898
0.53,0.2015117342273697,0.6658207452165156,0.30938699110903134,0.7600346003882787
0.54,0.2054742250995256,0.6507552870090635,0.312330832882221,0.7686651859608274
0.55,0.20963874574430033,0.6374622356495468,0.3155155913549725,0.7767169304512684
0.56,0.21366220758919308,0.6221550855991944,0.3180863333058736,0.7846516059588112
0.57,0.21809878898234053,0.6079355488418933,0.3210278336151793,0.792400922243432
0.58,0.22257645352351021,0.5933937562940584,0.32372622487885816,0.7998543141546156
0.59,0.227261223069379,0.5787311178247734,0.32636325431891233,0.807132102591452
0.6,0.2320169837294545,0.5635045317220544,0.3286966329096078,0.8141855088110669
0.61,0.23691868062936697,0.5477139979859013,0.33076286854140313,0.8210730673049094
0.62,0.24187103632831117,0.5315609264853978,0.3324641295995364,0.8276777090900813
0.63,0.24787067616895533,0.5169788519637463,0.3350826349181483,0.8343669006962352
0.64,0.25344610254950595,0.5021550855991943,0.3368688438205132,0.8403992052316828
0.65,0.25989247311827957,0.4868076535750252,0.3388713634770417,0.8466558919843518
0.66,0.2655570482023725,0.4698086606243706,0.33931688583730946,0.8523044704091887
0.67,0.2723711888585314,0.45377643504531723,0.34041460171642696,0.858040850571199
0.68,0.27952867323574054,0.4376636455186304,0.3411624328822181,0.8635365889350299
0.69,0.2863602729589739,0.42090634441087615,0.3408356982092181,0.8685705551996514
0.7,0.2934082660110057,0.4037865055387714,0.33985997389343775,0.8733671315822849
0.71,0.29979671618451914,0.38614300100704935,0.33753521126760566,0.8776368975418766
0.72,0.3074849189498871,0.3675327291037261,0.3348379757055305,0.8821180380539233
0.73,0.3157223072996427,0.34880161127895265,0.3314386327534401,0.8864008116782814
0.74,0.3238692377459679,0.3308358509566969,0.3273154790371433,0.8902218132034301
0.75,0.33280615516135925,0.3136354481369587,0.32293654085441725,0.8938314401761238
0.76,0.34084991631021017,0.29530715005035246,0.3164483197720847,0.8970085622953325
0.77,0.34979570990806946,0.27589123867069487,0.30847877491273507,0.9001434095040503
0.78,0.36045070422535214,0.2577240684793555,0.3005519671168526,0.9031611877298699
0.79,0.37043978010994505,0.23887210473313192,0.2904513506232704,0.9057822321803123
0.8,0.3810715030227225,0.22090634441087614,0.27968176254589966,0.9081398714192338
